Title	Video ID	Published At	Description	View Count	Like Count	View-Like-Ratio
Bloodmoon sword fight	3o5-rXU3-v8	2006-04-15T21:00:50Z	This is a sword fight clip from the movie Bloodmoon. It's a decent movie with a lot of fun fighting scenes. And Chuck Jeffreys is ...	252166	824	0.003267688745
Yu-Gi-Oh (english intro)	3bd7fwU1poQ	2006-03-25T19:18:05Z	Here's the English intro for the Yu-Gi-Oh series. This is my favorite one of the bunch. Heh heh.	251146	1456	0.005797424606
Irn Bru - Scotland in the world cup	gh5OrE3LuFY	2006-05-24T08:13:04Z	They didn't qualify for the world cup. But Scotland will be putting in an appearance.	250929	573	0.00228351446
Grip Inc.- Curse (Of The Cloth)	UfvHBeBSM24	2006-03-04T15:48:34Z	A video from Dave Lombardo's band Grip Inc. Gus Chambers (R.I.P. October 13th 2008)	250445	1888	0.007538581325
7th Heaven S10 Ep13 Simon-Lucy	qPfJF-XTGuY	2006-03-29T14:20:15Z	a Simon and Lucy clip, credit to http://7thheavenhigh.free.fr.	248331	579	0.002331565531
Nicholas Tse - Let Me Die	hORgUg_YyOQ	2006-04-11T06:34:00Z	Nicholas Tse - Let Me Die Are we at war tonight Will there be angels whispering to midnight Don't wake when lightning strikes My ...	247691	540	0.002180135734
Sibel Redzep - All By Myself	ojGrhSg5AXw	2006-03-14T19:58:50Z	Sibel Redzep singing Celine Dion's All By Myself on the Swedish Idol2005 TVshow. www.sibel.se.	247282	500	0.002021982999
Brides of Dracula	-i52_E1N15g	2006-05-27T01:02:26Z	Gina begs to bite Marianne so they can live together as vampires with Dracula. See more vampire women at ...	246839	312	0.001263981786
Bjork- Desired Constellation	9Ex_M6DT1ig	2006-03-10T03:39:20Z	Desired Constellation as directed by Lynn Fox An HD upload of this is located here: https://youtu.be/Yn2hPz21q4Q.	246464	1223	0.004962185147
Jake's Greatest Hits- What's The Time?	spJ8SL5hOy0	2006-04-22T21:27:00Z	JakeDa MussHeke's Greatest Hits.	245780	687	0.002795182684
Quiet and Peace (What about Bob?)	F5ZSyAuNMCM	2006-03-08T18:00:30Z	Tourette's Syndrome is not only scarier than death, but it also disrupts quiet and peace when a certain reknowned psychologist is ...	245753	1236	0.005029440129
Rayman Raving Rabbids Trailer	Pxzx4u0oMUs	2006-05-11T10:52:28Z	Rayman Raving Rabbids.	244394	1245	0.005094233083
God Lives Underwater - No More Love	GN659FUswZg	2006-04-08T01:21:21Z	The video for the God Lives Underwater song No More Love RIP David Reilly.	244192	2262	0.009263202726
Kh2 English commercial	ALTCu2x9i7I	2006-03-16T05:34:41Z	commercial from gamestop in english featuring sanctuary.	243704	3680	0.01510028559
AGORAPHOBIC NOSEBLEED - Mosquito Holding Human Cattle Prod (Official Music Video)	12juvOBHraw	2006-05-16T20:35:10Z	AGORAPHOBIC NOSEBLEED - Mosquito Holding Human Cattle Prod official music video taken from the album 'Altered States ...	242417	900	0.003712610914
Toyota Rav4 - Commercial	qUKM127dMNU	2006-03-17T07:13:05Z	Toyota Rav4 Commercial For more commercials like this one visit: http://falcone.wordpress.com/tag/video/	241063	1009	0.004185627823
Shade Empire - Chemical God	PhMwMVuuSIQ	2006-04-20T07:58:11Z	From Shade Empire's second album Intoxicate O.S. (2006) Check out: http://www.shadeempire.com/ and the official youtube ...	241036	1445	0.00599495511
T Bone Burnett - Earlier Baghdad (The Bounce)	tINyFEg6k48	2006-04-30T21:00:54Z	T Bone in his first live solo performance of a song from The True False Identity...his first album in 14 years.	240984	1118	0.004639312154
Charmed - Piper speaks with Elder	WLS0b1rWXyQ	2006-05-15T18:58:48Z	Piper tries to acquire information regarding her current enemies. Again, this is not a music video, but an actual clip of the episode ...	240700	1791	0.007440797673
Bert Lahr - Medley of Madness	ZcjDZgdNbKk	2006-03-28T20:33:52Z	Bert Lahr is best known for his role as the Lion in The Wizard of OZ In this clip from a 1938 film he sings an insane medley of ...	238258	980	0.004113188225
Mobius Band - The Loving Sounds of Static	OR_J3JQb00Q	2006-04-26T22:05:01Z	Music Video for Mobius Band's The Loving Sounds of Static the title single for their album by the same name. Check out ...	237760	929	0.00390730148
Lovebugs - The Key	BYG3Jj4cvcU	2006-05-29T10:26:18Z	Taken from the platinum awarded album IN EVERY WAKING MOMENT. (2006)	237559	616	0.002593040045
Jamie Dornan D&G commerical	tieXip84oPI	2006-04-11T03:02:34Z	Jamie Dornan.	236918	477	0.002013354832
Resident Evil 4 Beta Mess	QFW0Qpxa88c	2006-04-21T01:04:25Z	Just messing around, thought it would be funny to make a video of some of it.www.thehorrorisalive.com.	235761	468	0.001985061142
Sebastian Telfair holds court - from THROUGH THE FIRE	gc4zrFfudtY	2006-03-10T18:04:37Z	Sebastian Telfair holds court in the locker room before the 2004 McDonald's All-American Game. A THROUGH THE FIRE outtake.	233885	461	0.001971054151
Gracia Never Been	Y1vbcanwZto	2006-03-13T15:21:24Z	NEW Single from singer Gracia!	233784	750	0.003208089519
Teen Titans: Trouble In Tokyo movie trailer (hi-res version)	zPQei7nDZUE	2006-05-21T02:45:17Z	America's coolest heroes head to Japan in their first animated movie, Teen Titans Tokyo, airing in late fall. When a high-tech ninja ...	233700	869	0.003718442448
Staples Easy Button	NojiCsZQSr8	2006-04-07T06:58:41Z	Popular Easy Button commercial. What's the Worst That Could Happen? starring actor Andrew Patrick Ralston, comedian Nick ...	232751	820	0.003523078311
The Perfect Paper Stretcher - the easy way to stretch watercolour paper!	2Z2zeS0oVi4	2006-05-10T20:43:46Z	Learn how to stretch watercolour paper using the Ken Bromley's Perfect Paper Stretcher - the easy way to stretch watercolour ...	232343	621	0.002672772582
Bohat pyar karte hai	ccFWU0h4fDo	2006-05-14T07:05:58Z	maduri, salman, sunjay, asim.	232237	204	0.0008784130005
Obscure	6k4gEVSILKk	2006-03-06T09:01:24Z	PLEASE NO SPOILERS FOR OBSCURE 2. You spoil comment gets deleted. THIS VIDEO IS FAN-MADE I CLAIM NO RIGHTS ...	232233	433	0.001864506767
Shadow the Hedgehog - Neutral - Hero Ending	qWab_2EgWiQ	2006-03-11T21:01:15Z	The Neutral - Hero ending for Shadow the Hedgehog.	231187	632	0.002733717726
Old Timey 1997 Photo Booth	Y04fnaRXPfM	2006-04-19T18:02:12Z	Improv Everywhere creates an Old Timey 1997 Photo Booth on the streets of NYC. Full Story: ...	230945	815	0.003528978761
Gran Turismo 4 Drift Tutorial	bQtmnbMNQVw	2006-04-17T22:30:52Z	A short tutorial. Sorry it's not more in-depth; I can't do much with Windows Movie Maker. Check out my other GT4 videos for more ...	230551	716	0.003105603532
Haruka And Michiru Moment	VIKto1kFM8E	2006-03-07T03:41:20Z	Michiru trys to save Haruka and then...well you will see!^^ p.sp Not mine!	230106	1473	0.006401397617
Team idiot wins again!	bSgGQddUMxY	2006-04-20T21:37:16Z	team idiot manages to beat the genius chiyo chan in test scores!	229420	10139	0.04419405457
Vivica Genaux sing the aria for Farinelli: Qual guerriero in	QcFLh9t4RJY	2006-05-18T17:34:21Z	This aria was written for Farinelli (Carlo Broschi) by his brother Riccardo Broschi. I upload it only for study because I am very ...	229391	970	0.00422858787
Rabbit Junk - In Your Head No One Can Hear You Scream	FBxJqcX8ErU	2006-05-17T02:41:12Z	Post-THE SHIZIT project RABBIT JUNK gives us the first single from their second album RE:Frame just released in 2006 ...	229153	1616	0.007052056923
Dead To Fall - Bastard Set of Dreams (Official Music Video)	HdH8NYsDwWk	2006-03-11T00:31:59Z	A rarely seen video for Chicagos' hardcore heroes, Dead to Fall made of live video from their tours across the US.	228100	1109	0.004861902674
Empire Earth II - Opening Cinematic	9nsXOluY8Ew	2006-04-18T20:26:20Z	A New Age of Epic Conquest. The ESRB has rated this game Teen (Blood, Violence). For more information, please visit ...	225283	916	0.00406599699
Hug Patrol	xwh-yWtFO0w	2006-05-08T20:40:23Z	Improv Everywhere stages a fake prank for Fox 5 News in New York (the guy who wins the hugs, is actually a plant who is ...	222300	874	0.003931623932
7th Heaven S10 Ep8 Kevin-Lucy	H-2M0bKTYKE	2006-03-29T10:40:19Z	a Kevin and Lucy clip, credit to http://7thheavenhigh.free.fr.	222290	441	0.001983894912
Ranma Music Video - Lambada Ranma (Curtain Call Version)	jQAXPpSLFhA	2006-03-23T18:13:18Z	Here is another official Ranma music video that was not released in the US. The japanese title is Lambada Ranma (Curtain Call ...	220320	1118	0.005074437182
The Abu Ghraib Prison Scandal - Sergeant Michael Smith Isn't to Blame,So Who Is?	-DJbyhGuMsc	2006-03-23T21:47:47Z	Watch more at http://www.theyoungturks.com TYT Network channels: TYT Interviews http://www.youtube.com/tytinterviews TYT ...	220276	107	0.0004857542356
Kataklysm: To Reign Again	S7yqkFTnqsU	2006-03-21T05:25:42Z	A slide show for Kataklysm's To Reign Again	220116	569	0.002585000636
Final Fantasy VIII - Edea Strikes Squall with Ice Magic	AtnnWfpWJGo	2006-04-10T02:39:01Z	The original FMV from Final Fantasy VIII. Squall (renamed Leon in Kingdom Hearts) gets impaled by Sorceress Edea's ice magic ...	219709	349	0.001588464742
Tilting German Ice Train	G25NIQnfDO8	2006-03-14T21:35:48Z	In order to offer shorter journey times combined with tried-and-tested ICE comfort and convenience on such routes too, DB ...	219688	396	0.001802556353
Brian Molko of Placebo on Popworld 2006	qB7wORG9pHQ	2006-03-09T19:24:06Z	Brian Molko of Placebo on Popworld 2006.	218437	1432	0.006555665936
Justice League Heroes Trailer	g0l_wyaZZAQ	2006-05-06T08:57:48Z	Justice League Heroes Trailer.	217417	221	0.001016479852
Great BaanGaan Sequence	Aj76M37jpdA	2006-03-10T01:24:11Z	BaanGaan and Spherion combine. From the Brave Saga PS1 game.	217105	788	0.003629580157
EXODUS - Now Thy Death Day Come (OFFICIAL MUSIC VIDEO)	jSbqklcAww4	2006-05-15T16:17:53Z	Official music video for the EXODUS track Now Thy Death Day Come from the 2005 album, Shovel Headed Kill Machine, out via ...	216743	1067	0.004922881016
Forget the OSCARS Brokeback Mountain WINS Best Picture BAFTA	_ICY4Dlk-5Y	2006-03-07T01:56:34Z	Who cares what the air-heads in LA think of our gem of a film. Us Brits know a good thing when we see it, so stay in your seats ...	215763	745	0.003452862632
Pagliacci - Prologo	PpWRlDQn1aw	2006-04-08T08:05:40Z	The famous american baritone, Robert Merrill, singing the prologue to Pagliacci.	215468	786	0.003647873466
dime pq tu te vas!!	ivVgrZhFMuA	2006-03-18T21:56:40Z	a clip for one of my fav music..remember me a guy that i used to love!!!!	214866	1990	0.009261586291
Final Fantasy VII Commercial 1	Ru9zzFEdGWk	2006-03-08T21:07:24Z	Final Fantasy VII Commercial 1.	213522	1141	0.005343711655
kleiner Schalker	2w6th_cRfWQ	2006-05-28T00:08:21Z	kleiner Schalker dreht ganz groß auf... mit einem Atemzug :D.	212736	305	0.001433701865
(1) Dark Forces II: Jedi Knight - The beginning	6GfgtBuhOxk	2006-05-16T21:43:40Z	The beginning of Jedi Knight. © 1997 Lucasarts Entertainment Company LLC © 1997 Lucasfilm STAR WARS®	212519	476	0.002239799736
Wonder Woman Original Spin Transformation 1	knEy_qqrxJU	2006-04-18T00:44:25Z	This is a clip from the pilot movie The New, Original Wonder Woman showing the very first time Diana transformed into Wonder ...	211246	641	0.003034376982
KWAN-Diamonds	ARh_lpqqxdY	2006-03-22T06:54:28Z	KWAN Diamonds.	208949	586	0.002804512106
Pornorap Ati-Bati	Bvvm65Aq2hc	2006-05-04T01:47:36Z	Some crazy russian rap video. Unsure of the artist's name and what he is saying. If someone can translate into english, send it my ...	208704	450	0.002156163753
Cold Hearted Snake	m0coOU8fqZ4	2006-03-20T04:31:06Z	An amv of Orochimaru To Paula Abdul's 'Cold Hearted Snake'. Enjoy.	207569	1681	0.00809851182
Robert Wyatt performing Gharbadzegi	jVyDd-jmqHs	2006-03-11T07:24:27Z	Robert Wyatt performing Gharbadzegi	206735	1705	0.008247273079
KFC Advert	B-yG50MfCMU	2006-05-05T12:14:14Z	The KFC Advert from a couple of years ago. The serving up soul one where the guy asks if he can have a bite.	206244	587	0.002846143403
Alias : Episode 13 Season 5 Final Scene	guVRqznnxyA	2006-05-05T18:34:49Z	The closing minutes of 30 Seconds in Alias as used by The-deli.org SPOILERS for those who have not seen the episode.	205612	259	0.001259654106
Ask a Ninja Special Delivery 5 Doogtoons 3	zgjEvxaj_OM	2006-05-24T02:20:56Z	Ask a Ninja Special Delivery 5 Doogtoons 3	204344	586	0.002867713268
Def Con Dos - Mundo chungo	d1zSVQ6GIqk	2006-05-02T12:32:11Z	Videoclip del tema Mundo chungo. Cancion incluida en su disco Recargando. Mas info en www.defcondos.com.	204251	860	0.004210505701
sad news	Mx7iUEvNzMk	2006-05-19T01:04:14Z	sad news.	202874	N/A	#VALUE!
eurovision norway 2006	tRLwHxbcR7c	2006-05-23T17:54:01Z	the entry of norway.	201271	857	0.004257940786
Eddi Reader: Town Without Pity	QyDc-MxB9Rs	2006-05-01T09:15:40Z	Glasgow chanteuse sings Gene Pitney's cover.	201218	1053	0.005233130237
One Tree Hill 313 - The Wind That Blew My Heart Away	UVs-JjiH_o4	2006-03-23T04:46:22Z	ahh! hot nathan && haley scene in the rain on the hood of the car =]~	200413	808	0.004031674592
Marmite viral ad	GoRcU0Ul7tU	2006-05-11T09:22:38Z	Breastfeeding mum eats Marmite on toast, the fool!	199997	366	0.00183002745
Ray and Neela from s12e18, Strange Bedfellows ending	PdwNZSxTlWQ	2006-04-01T12:14:59Z	Neela moves out and breaks Ray's heart.	199502	429	0.002150354382
Broken Social Scene: Ibi Dreams of Pavement (A Better Day)	9JRsyIXzsU8	2006-05-12T15:52:34Z	From the album - Broken Social Scene https://brokensocialscene.lnk.to/BSS.	199222	834	0.004186284647
Masked Rider Zo music video	DZh6dfoQKJ0	2006-04-03T23:34:36Z	My favorite Kamen rider from childhood! A music video that I put together.	199106	898	0.004510160417
Moment of Memories - An Everwood Music Video	8tnR1PqBqvI	2006-05-24T00:08:42Z	Music video about Ephram and Amy from the TV show Everwood (2002-2006), set to the song Goodbye My Lover by James ...	198695	733	0.00368907119
Ico for the original Playstation	Jq9oCaYlBlE	2006-03-06T16:31:57Z	This is a video showing Ico in it's original form for the the Playstation. The game was then delayed and retooled for the PS2.	195446	887	0.004538337955
Cher-Alive Again (Remix)	1DnyvXZL9aQ	2006-03-29T16:42:15Z	Cher-Alive Again(Remix Version) ☆Wellcome to CHER fan's group in taiwan. ☆You can link to http://tw.club.yahoo.com/club ...	195084	580	0.002973078264
oasis interview berlin 2005	ZK4-gS6cU3g	2006-05-08T12:02:28Z	noel gallagher liam gallagher gem archer andy bell interview berlin 2005.	194802	972	0.004989681831
Tripod - Ghost Ship	tt0hml2j43E	2006-04-08T00:40:13Z	Go to http://3pod.com.au/ to buy Tripod's music.	194698	623	0.003199827425
2003 Worlds Bourne & Kraatz - Adagio in G minor	J0c55JUbCtI	2006-04-17T01:03:02Z	2003 Worlds Bourne & Kraatz - Adagio in G minor.	192699	541	0.002807487325
Luke's Scream	PaXgK5HRBjk	2006-03-23T08:06:13Z	The Emperor's scream from Return Of The Jedi was hilariously added for Luke's defiant plunge into Cloud City's central core in ...	192623	928	0.004817700898
Freedom River	ABKLirW24LE	2006-05-25T04:26:44Z	Concentrating on an area of growing concern in our society--the indifference that makes people blind to the injustices around ...	192503	1665	0.008649215856
Sony's 2006 E3 Press Conference Summed up Gmod Version	O0MOh7s9Q_M	2006-05-24T14:26:30Z	Sony's 2006 E3 Press Conference Gmod style.	191977	1833	0.009548018773
Lisa Lopes - A New Star Is Born	jDZ2zuHbCD4	2006-03-23T20:35:55Z	Www.MySpace,com/RavenSuki.......I made this video compilation back in 2002. Dedicated to the life of Lisa Left Eye Lopes.	191215	1087	0.005684700468
Sister Jack	KLOLM4fmhBs	2006-05-10T18:35:42Z	Spoon video for Sister Jack.	189326	584	0.003084626517
Disgaea: Hour of Darkness	1vXWfFaRqko	2006-04-16T03:47:16Z	Disgaea: Hour of Darkness.	188663	1708	0.009053179479
Major Parkinson - Death in the Candystore	NoT_m2oQZ-s	2006-05-06T18:37:36Z	Major Parkinson's video for the song Death in the Candystore. Check out the band at http://www.majorparkinson.com/ !	188596	1354	0.007179367537
Courtney Love - I'll do Anything [PV/MV]	Kky-53Es--U	2006-04-02T22:36:11Z	Courtney Love song: I'll do Anything from: Lucifer Junk City HMV 'i feel this video brings the intensity of the song out.'	188477	683	0.003623784334
Shadow the Hedgehog - Pure Hero - Dark Ending	oDOjxgfUUnw	2006-03-11T20:24:21Z	By request...	187927	593	0.003155480586
CLICK - Universal Remote	PFIRXAsoxDE	2006-05-25T21:22:10Z	Everything will Click June 23 What would you do if you had a universal remote control that controlled the universe? Fast Forward ...	187594	312	0.001663166199
Brokeback Mountain - Ever dream (Nightwish)	gJFJ8WGhIk0	2006-03-31T00:02:13Z	My first movie about that heartbreaking film. BBM simply upset me. Ever felt away with me, just once that all I need entwined in ...	187573	411	0.002191146913
007 Agent Under Fire Trailer	9KBZmx3UJjo	2006-03-06T01:13:23Z	007 Agent Under Fire Trailer.	187513	397	0.002117186542
Hidden & Dangerous 2 intro trailer	YSD0Kjq_8xQ	2006-05-16T08:12:51Z	The Hidden & Dangerous 2 Introduction Trailer.	187454	693	0.003696906975
Sam & Max Freelance Police Trailer	JiPISwKoovE	2006-03-06T13:30:21Z	Sam & Max are back in the new game Sam & Max Freelance Police, coming from LucasArts sometime in May 2004. This is the ...	186074	3221	0.0173103174
7th Heaven S9 Ep20 Lucy-Kevin	TFN0BBaiLk0	2006-03-31T16:05:31Z	a Lucy and Kevin clip, credit to http://7thheavenhigh.free.fr.	185367	380	0.002049987322
Peter Crouch finally scores!	8yzx8u4F4mM	2006-03-02T19:57:25Z	crouchy finally scores.	184830	319	0.001725910296
Black bomb A - No1noise	BEquddTEOf8	2006-04-09T23:35:43Z	Accoustic song by BBA. The sound was recorded live as we shot the video. This video is on the bonuses on the BBa DVD ...	184382	845	0.004582876853
Hum Apni Taraf Se	vucRp-Zau2c	2006-05-14T06:06:44Z	dunt no.	182266	135	0.0007406757157
Leijonamieli & Putkimiehet - Laulu sadepäivän varalle	57Tkjhkf8SU	2006-05-19T11:02:00Z		180887	637	0.003521535544
Silk Road Online Noob Hunt	R5Ixi8MIdtw	2006-04-09T02:08:51Z	EDIT* Before you get all omg noob level up, you suck check the POST date of this video. I haven't played this game in years.	180828	427	0.002361359966
Mashlin - The Shore	mle9du_cghY	2006-03-26T23:46:48Z	One Eleven Records recording artist MASHLIN, off of their debut album Pushing Through the Seasons. Video Produced by Blue ...	180461	1242	0.006882373477
Logitech webcam hacking contest	Mqn8737eFpE	2006-05-05T22:37:59Z	Ok folks, remember that cool web camera from Logitech that has an avatar and accessory feature that maps characters and ...	179465	175	0.000975120497
Archie Bronson Outfit - Dead Funny (Official Video)	LNGSwk_7BRA	2006-05-19T17:07:27Z	Archie Bronson Outfit - Dead Funny from 'Derdang Derdang', released 2006 on Domino Record co. Subscribe to Domino on ...	178880	905	0.005059257603
1998 Olympics Medal Ceremony	pl-Ao1QSVNs	2006-04-29T09:26:14Z	This is 1998 Medal Ceremony at Olympics. Tara Lipinski-gold, Michelle Kwan - silver, Lu chen- bronze.	178836	415	0.002320561856
Bardot - Love Will Find A Way	zmVXVPqpxho	2006-04-07T11:05:49Z	Love Will Find A Way is the sixth (and final) single from Australia's highest-selling girl group, Bardot. It was released in February ...	178822	292	0.001632908703
System of a Down Uranium Interview 2002	Bfsmbf33h0s	2006-03-04T12:53:31Z	The first Uranium interview with Serj and Daron of System of a Down. Juliya gets her ass handed to her. Quite the watch.	178529	1026	0.005746965479
Match Game Boob Blunder	da7IhAJBuu8	2006-03-02T00:37:15Z	As host Gene Rayburn is going through the panel of stars, the common matched word seems to be boobs. Well, as Gene asks ...	177904	190	0.001067991726
Phantom of The Opera- No one would Listen	Tg7T_DpaMHg	2006-03-10T20:53:39Z	Deleted scene from the movie.	176566	3607	0.02042862159
Heavy Rain - The Casting	JuitbK5kO90	2006-05-11T20:22:49Z	Heavy Rain - The Casting.	176073	514	0.002919243723
Another New Bunny	t9ewYwtxCbM	2006-04-25T06:32:42Z	Two best friends meet another new bunny.	173696	2632	0.01515291083
Starship Troopers - Citizen Rule	l_5UZfwX0ss	2006-04-21T15:16:41Z	Citizen Rule; People Making a Better Tomorrow.	173053	914	0.005281618926
Brokeback Mountain Something gotta hold of my heart	xAON1guFpXw	2006-04-15T09:25:24Z	Ennis looks back, the good and the bad. I started this a while ago but stopped, sadly Gene Pitney died recently so I decided to ...	172998	516	0.002982693442
Table of Damascus in Lawrence of Arabia	YhBIPZCVj84	2006-04-27T04:43:26Z	The tribes of Arabia dreamed of making Damascus their own once more. Once they conquered the city each tribe was given a ...	172421	766	0.004442614299
Speed	jsjCaq32BNY	2006-03-21T10:33:05Z	Japanese song.	172146	1003	0.005826449642
1992 Indianapolis 500 Finish	0orHQo57S9Q	2006-04-05T20:11:59Z	Here is the last 7 laps plus some post-race.	171720	480	0.002795248078
Slow Chemical	3CgDr0SVRdU	2006-03-20T22:06:13Z	Another POTO MV I Made, This time to Finger Eleven's Slow Chemical	171210	1221	0.007131592781
Ayaya Pretz commercial	Tq0nYZ6beNs	2006-03-08T00:39:37Z	Ayaya Pretz commercial.	170032	387	0.002276042157
Love as Laughter - Dirty Lives [OFFICIAL VIDEO]	Z4prkIlCwOM	2006-04-04T20:36:12Z	Dirty Lives from Love as Laughter's 4/26/2005 release, Laughter's Fifth https://megamart.subpop.com/artists/love_as_laughter ...	169901	961	0.005656235102
U2: The Early Years Part I: The Bar Mitzvah	LIUPgqnc0Zc	2006-04-23T07:38:36Z	Ben Stiller as Bono and a send up of The Partridge Family, Rattle and Hum. Funny stuff.	169689	359	0.002115635074
the strokes -  clampdown (live at t in the park 2004)	SmEsx9Jg-Ps	2006-04-04T02:14:20Z	the strokes - clampdown (live at t in the park 2004)cover of the clash song.	169247	781	0.004614557422
Best of Lord of the Weed (1)	7mJatIrcp-k	2006-05-13T22:03:43Z	Best of Lord of the Weed (1)	168844	480	0.002842860866
Bardot - I Should've Never Let You Go	ZP5yPWyAWYc	2006-04-02T04:00:23Z	I Should've Never Let You Go is the second single from Australia's highest-selling girl group, Bardot. It was released in May ...	168765	576	0.003413029953
Intervie with Phil of the Future cast	nQ8rqaVDHU8	2006-03-31T21:36:29Z	Interview with Ricky , Alyson and Amy. The three main casts from PHil of the Future. Enjoy ^_^	167554	936	0.005586258758
TAKE THE LEAD - The Power of Dance	xScsCLFJ3o4	2006-03-24T21:24:05Z	A video that was featured on Dancing with the Stars. Hosted by Antonio Banderas.	165073	468	0.002835109315
Let Go - by Dave Lichens	6tgZiQxyroc	2006-04-21T02:54:11Z	Up and coming artist Dave Lichens performs Let Go which is featured in the Dreamworks film She's The Man.	164786	941	0.005710436566
Last Days Of April - All Will Break	it3UGCBXeTs	2006-05-19T13:32:06Z	The oh so nice video for Last Days Of April's All Will Break. Check out All will break on Spotify: https://spoti.fi/2Cg2NPx Apple ...	164131	677	0.004124754007
It's my life - LOTR Music Video	guGQ9WV_PvA	2006-05-05T13:06:17Z	LOTR Video Version.	162946	807	0.004952560971
Adam and the Ants - Plastic Surgery	SpgzXMZbeBE	2006-05-29T06:28:21Z	Clip from the film Jubilee of Adam and the Ants performing Plastic Surgery, as well as a scene including Adam Ant.	162526	837	0.00514994524
Sesame Street - King Minus	r7PutARhh0c	2006-03-03T05:44:11Z	Groovy and educational little number from the good old days of Sesame Street where King Minus demonstrates math using ...	162398	266	0.001637951206
Pearl Jam Interview On Jools Holland	M2gEq_O29ug	2006-05-12T11:15:38Z	Pearl Jam On Jools holland.	161855	499	0.003083006395
Alec Empire - New World Order	Vg6LtMlHY_A	2006-05-18T00:46:08Z	The original Digital Hardcore artist comes through with this kick ass rarely seen video from his Intelligence And Sacrifice album.	161674	690	0.004267847644
Marco Tempest - Rubik's Cubes (Korean)	TxsHDRMvMTU	2006-03-17T20:53:33Z	Marco performs the Rubik Cubes on SBS prime-time show in Korea.	161587	344	0.002128884131
Wolf Parade - I'll Believe In Anything [Live at CMJ 2005]	yEOap4k5sd8	2006-04-13T23:43:32Z	Original recording of I'll Believe In Anything is found on Wolf Parade's 09/27/05 release, Apologies To The Queen Mary iTunes ...	161583	682	0.004220741043
Beverly Sills as Queen Cleopatra	yUPxGcHyVhg	2006-03-31T14:29:30Z	Beverly Sills in Handel's Guilio Cesare, singing the dazzling aria of Da tempeste il legno infranto ...	157767	1131	0.007168799559
Ranma Music Video - Yume no Balloon	L1LHJvu24aA	2006-04-04T06:10:54Z	Here is the last of the official Ranma Music Video that was not released in the US. I believed I wrote earlier on one of the previous ...	157154	948	0.006032299528
JogaTV Episode 3: ALONE YOU ARE JUST A VINE	AzBdGF6Qqa8	2006-03-08T04:25:55Z	Eric Cantona brings another JogaTV broadcast from the heart of Germany. Play Beautiful. Joga Bonito.	155544	248	0.001594404156
We cheer for clothes	we-L7w1K5Zo	2006-04-10T04:32:27Z	Why we cheer for clothes.	154889	1117	0.007211616061
MGS2: European Extreme -- Solidus	AXGZ1y-mrbA	2006-05-24T23:48:16Z	From the European Extreme difficulty setting of Metal Gear Solid 2: Substance.	154814	830	0.005361272236
Seo Dong Yo MV	w41UZEieGkE	2006-04-24T12:17:41Z	Kissing Scenes in Seo Dong Yo by heartthrob I did not create this video. If you are the creator and would like me to remove this, ...	154143	444	0.002880442187
Bollywood	UROFx7x4Jqk	2006-05-02T17:29:04Z	Bollywood,a very nice song.	152023	168	0.001105095939
Mocky feat. Feist - Fightin' Away The Tears (Official Music Video)	YqLlbGY5eJA	2006-04-11T13:43:02Z	The First Single from the upcoming Mocky album Navy Brown Blues (2006) www.mockyrecordings.com ...	150121	567	0.003776953258
Interview Penny (Part 1)	kj5l1IUD1OA	2006-03-30T14:52:22Z	Interview Penny (1)	149424	356	0.002382482064
Mad TV - The Eggsellent Marathon season 9 ep 22	n2FHg8bXjOI	2006-04-18T03:28:23Z	If you love eggs, you may not want to watch this sketch. It's a gross out sketch without THE gross out money shot (the sight and ...	148963	1056	0.00708900868
Coffee & Cigarettes - Delirium - Bill Murray with RZA & GZA	lwCy6yn4SDY	2006-04-10T13:15:13Z	short flick from Coffee and Cigarettes (2003) - directed by jim jarmusch.	148872	907	0.006092482132
The L word - dylena - Dylan & Helena	-DpKEwmOgJE	2006-05-19T18:45:03Z	Dylan & Helena from S3 TLW, music by TEXAS can't resist NOTICE: All copyrighted video materials belong to Showtime ...	148337	291	0.00196174926
Through the Fire trailer: Sebastian Telfair	ilJQsBLAIE0	2006-03-10T23:06:34Z	basketball.	148047	203	0.001371186177
Wonder Woman Spin Transformation - First Season	NBZgv80gpMA	2006-05-02T01:02:42Z	Another spin transformation from The Last of the Two-Dollar Bills. (Unfortunately, due to the large number of spammers, ...	147968	642	0.004338775952
Gackt	N20oHDwhBnc	2006-05-14T18:45:58Z	gackt on a TV Spot..so please rate and post a comment!!!!!!!	147080	608	0.004133804732
ONE MAN ARMY AND THE UNDEAD QUARTET - So Grim, So True, So Real (OFFICIAL MUSIC VIDEO)	CSEpjau4Kws	2006-05-12T13:39:54Z	One Man Army's So Grim, So True, So Real official music video Order: http://smarturl.it/OMA-21st-NB Subscribe to Nuclear Blast: ...	146986	972	0.006612874696
Toto Live on Wetten Dass ZDF	lfvSW00TtIo	2006-04-09T10:27:34Z	Africa, Rosanna, Bottom of your soul...	146533	395	0.002695638525
Hawthorne Heights - Saying Sorry (Live on Jimmy Kimmel)	r9VyCRQ1Zx0	2006-03-08T18:53:19Z	In February of 2006, Hawthorne Heights played live at the Chicago Auto Show for Jimmy Kimmel Live! They played an entire set.	146412	531	0.003626751906
